generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50533,0.5026666666666666,2.0761340768261207,225.921,128,127,134,120,104,139,119,129
1,0.43988,0.4746666666666666,2.008179011638018,203.844,139,131,93,68,162,228,91,88
2,0.45352,0.48766666666666664,1.850451363819409,203.26,118,110,70,50,194,338,47,73
3,0.52801,0.5193333333333332,1.6477609759687504,214.337,103,92,39,31,170,462,38,65
4,0.62428,0.5596666666666666,1.3881193416278657,230.722,74,70,21,25,151,579,11,69
5,0.71183,0.5823333333333333,1.106254881952272,246.179,59,58,12,13,116,690,1,51
6,0.79522,0.6133333333333333,0.8813173098076272,262.562,39,50,7,8,71,778,1,46
7,0.86137,0.6386666666666666,0.707920775045072,274.981,19,36,2,12,53,833,0,45
8,0.89874,0.6533333333333332,0.5658045270868375,281.628,7,27,2,4,42,872,1,45
9,0.94381,0.6653333333333332,0.4315590425283887,290.307,10,18,0,1,16,905,0,50
10,0.96902,0.6723333333333332,0.3216980220828981,294.508,3,8,0,2,10,934,2,41
11,0.97444,0.673,0.28830321316735713,295.612,0,9,0,3,10,940,0,38
12,0.98455,0.6736666666666666,0.2460898930468366,297.969,0,13,0,1,2,948,0,36
13,0.97251,0.6726666666666666,0.27268093955998396,295.523,0,10,0,1,9,943,0,37
14,0.97541,0.6736666666666666,0.2826352807997266,295.713,1,6,0,4,9,942,0,38
15,0.96464,0.6666666666666666,0.28552787222212317,293.832,3,8,0,4,12,946,1,26
16,0.97586,0.672,0.2801780969815822,295.838,2,7,0,2,7,945,3,34
17,0.97439,0.6703333333333332,0.25729778555988214,296.135,1,9,1,0,7,950,2,30
18,0.97639,0.674,0.28712019382570564,296.189,0,7,1,1,9,941,2,39
19,0.97364,0.6736666666666666,0.26791282403009475,295.126,0,2,0,2,14,944,1,37
20,0.9749,0.6716666666666666,0.27235221123308184,295.874,0,8,1,2,9,946,1,33
21,0.96598,0.6676666666666666,0.28634426623430115,294.764,1,16,1,0,9,942,0,31
22,0.97636,0.671,0.24762852936688112,296.386,0,12,0,0,7,949,0,32
23,0.98826,0.676,0.20581723689404652,298.058,0,3,0,0,4,957,1,35
24,0.97835,0.6726666666666666,0.2527661646905231,296.631,0,9,0,0,6,949,3,33
25,0.9681,0.671,0.27957937504563685,294.888,0,12,0,0,11,941,0,36
26,0.96759,0.6703333333333332,0.28084232469101555,294.743,0,12,0,1,11,942,0,34
27,0.97162,0.672,0.2657750842214698,295.046,0,8,0,0,12,944,0,36
28,0.98179,0.6713333333333332,0.2101071706389505,297.219,0,9,0,0,5,958,0,28
29,0.97542,0.6686666666666666,0.21495959670953274,296.198,0,11,0,0,7,958,0,24
30,0.96723,0.669,0.2512013871846819,294.321,0,9,0,0,13,949,0,29
31,0.97236,0.6686666666666666,0.24570269095716937,295.984,0,16,0,0,6,950,0,28
32,0.9701,0.6686666666666666,0.23978006394624304,295.086,0,10,0,0,10,953,1,26
33,0.97053,0.6683333333333332,0.24391851097516942,295.277,0,11,0,1,9,953,1,25
34,0.96966,0.6723333333333332,0.2705048105507978,294.606,1,6,1,0,11,944,0,37
35,0.97146,0.672,0.27687593542747213,295.558,0,12,1,0,8,942,0,37
36,0.97897,0.674,0.23772362268005293,296.361,0,6,0,0,8,950,0,36
37,0.9852,0.6756666666666666,0.24457750653784613,297.604,0,7,0,1,4,949,1,38
38,0.96716,0.6743333333333332,0.31130758764893746,294.652,0,11,0,0,11,932,1,45
39,0.97211,0.676,0.2957149680578045,295.193,0,8,0,0,11,934,0,47
40,0.98374,0.679,0.2824069939456371,297.414,0,7,0,2,5,937,0,49
41,0.97197,0.677,0.33037561564748164,295.081,0,8,0,4,11,927,0,50
42,0.98465,0.6786666666666666,0.27893317414668145,297.697,0,8,0,2,4,938,0,48
43,0.98673,0.678,0.25113861971958124,297.905,0,6,0,0,5,944,0,45
44,0.97693,0.6753333333333332,0.28233138549629044,296.059,0,8,0,1,9,939,0,43
45,0.97402,0.6726666666666666,0.25697708447858836,295.77,0,9,0,0,9,946,0,36
46,0.96564,0.668,0.2645585789700568,294.252,0,14,0,0,11,946,0,29
47,0.96078,0.6673333333333332,0.2811430511225654,293.482,0,14,0,0,13,943,1,29
48,0.97652,0.6716666666666666,0.23391250972166322,295.968,0,5,0,0,9,954,3,29
49,0.96214,0.666,0.2744947131536992,294.268,0,16,0,0,12,945,1,26
50,0.96866,0.666,0.226301919098166,294.554,0,9,0,0,14,956,0,21
51,0.96565,0.6686666666666666,0.2716284113979035,294.425,0,13,0,0,11,945,1,30
52,0.96566,0.6666666666666666,0.2568190477278973,294.378,0,12,0,0,12,950,2,24
53,0.97256,0.6713333333333332,0.2595858489582299,295.336,0,10,0,0,10,946,0,34
54,0.9696,0.67,0.26182473546015894,294.992,0,11,0,0,10,947,1,31
55,0.97692,0.6716666666666666,0.23867669784984039,296.252,0,8,0,1,8,952,0,31
56,0.9726,0.6683333333333332,0.21980976109508843,295.242,0,8,0,0,11,957,0,24
57,0.96173,0.6663333333333332,0.2704328324509002,293.773,0,15,0,0,13,945,0,27
58,0.96133,0.6693333333333332,0.2935968427530631,293.445,0,10,0,1,15,940,1,33
59,0.96082,0.672,0.32958537773431673,293.506,0,10,0,0,15,930,4,41
60,0.96513,0.673,0.3262849823715369,294.445,0,13,0,0,11,930,3,43
61,0.96426,0.6743333333333332,0.3327311947596534,293.834,0,12,0,0,14,925,0,49
62,0.96582,0.67,0.337452878128703,294.986,0,19,1,2,8,930,2,38
63,0.97055,0.671,0.27046260940922845,295.375,0,11,0,0,9,945,2,33
64,0.96618,0.6673333333333332,0.24941731729782549,294.312,0,10,0,1,13,951,0,25
65,0.96627,0.6686666666666666,0.24769530448534824,294.131,0,9,0,0,13,950,0,28
66,0.95724,0.6666666666666666,0.3038109618543573,293.224,0,19,0,0,13,936,0,32
67,0.96366,0.6693333333333332,0.2935895003965553,294.15,0,14,0,0,13,938,0,35
68,0.9773,0.67,0.23724233046560753,296.572,0,11,0,1,7,953,0,28
69,0.98222,0.6713333333333332,0.2179714963135577,297.454,0,9,0,1,5,957,0,28
70,0.97348,0.6706666666666666,0.24465040994001963,295.712,0,11,0,0,8,950,0,31
71,0.9715,0.6696666666666666,0.2503129453458641,295.322,0,11,0,1,9,950,0,29
72,0.97217,0.672,0.24946017475177132,295.081,0,6,0,0,11,949,1,33
73,0.97454,0.6746666666666666,0.26826730206286187,295.626,0,8,0,0,9,942,0,41
74,0.9743,0.6756666666666666,0.313157300760713,296.078,0,14,0,2,6,931,0,47
75,0.969,0.671,0.29336772892905616,295.072,1,14,0,0,9,938,0,38
