generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.5018937875751504,0.5026666666666666,2.0761340768261207,449.236,128,127,134,120,104,139,119,129
1,0.4582064128256513,0.508,1.9435770904433636,418.63,88,139,90,64,157,297,79,86
2,0.5117835671342685,0.5456666666666666,1.668176470216539,433.472,69,135,23,34,147,452,60,80
3,0.5968637274549098,0.564,1.293873827289242,462.358,19,158,8,15,141,588,34,37
4,0.7941533066132265,0.612,0.920730987972246,535.345,8,123,2,6,62,745,15,39
5,0.8794488977955912,0.639,0.549580305001085,561.428,5,67,0,1,28,871,6,22
6,0.9085020040080161,0.6613333333333332,0.5029933447117177,570.221,2,45,1,1,15,884,3,49
7,0.897439879759519,0.6573333333333332,0.4687083942415278,564.535,0,39,0,2,27,893,1,38
8,0.9338527054108217,0.664,0.4327236079257495,576.837,0,25,0,1,28,901,0,45
9,0.9496292585170341,0.662,0.3549266824651614,582.946,0,32,0,0,14,922,0,32
10,0.9490731462925852,0.6616666666666666,0.27293547853785743,582.081,0,20,0,0,15,945,0,20
11,0.9592985971943888,0.659,0.22002126930334276,586.044,0,24,0,0,9,957,0,10
12,0.9529509018036072,0.6613333333333332,0.24506645204417626,582.589,0,14,0,0,18,952,0,16
13,0.9777705410821643,0.6623333333333332,0.16228487195338326,592.147,0,13,0,0,8,971,0,8
14,0.9706963927855712,0.663,0.22429438098783422,589.287,0,15,0,0,12,957,0,16
15,0.9453807615230461,0.6633333333333332,0.21893004008123457,579.63,0,17,0,0,9,958,0,16
16,0.9129058116232465,0.656,0.28018956272655,566.436,0,14,0,0,31,942,0,13
17,0.9246593186372746,0.6626666666666666,0.287592287723437,570.41,0,9,0,0,27,940,0,24
18,0.9366933867735471,0.6633333333333332,0.32373537011668924,576.228,0,9,0,0,30,931,1,29
19,0.953502004008016,0.6636666666666666,0.30205026039705785,583.119,0,19,0,0,15,939,2,25
20,0.9570591182364729,0.6673333333333332,0.3100545025669127,585.013,0,20,0,0,12,934,0,34
21,0.9583967935871743,0.6636666666666666,0.30062081611470887,586.332,1,23,0,1,10,939,0,26
22,0.9590380761523046,0.664,0.2743083334070474,586.194,0,21,0,1,10,945,0,23
23,0.9612224448897796,0.6656666666666666,0.28649788577101953,585.774,0,15,0,0,16,941,0,28
24,0.9772294589178356,0.6673333333333332,0.24761988573237853,592.429,0,17,0,0,7,950,0,26
25,0.9725100200400801,0.6676666666666666,0.20833284352155856,590.997,1,12,0,0,4,961,1,21
26,0.9669789579158317,0.6626666666666666,0.23554731803341328,588.261,0,19,0,0,10,954,0,17
27,0.9666082164328658,0.6633333333333332,0.21171535143374132,587.715,0,13,0,0,12,960,0,15
28,0.9648547094188377,0.6613333333333332,0.21171535143374132,587.367,0,15,0,0,13,960,0,12
29,0.9593186372745491,0.658,0.22699237441388487,586.456,0,18,0,0,17,956,0,9
30,0.968441883767535,0.6636666666666666,0.2671758888650876,590.473,0,25,0,0,7,945,0,23
31,0.9662575150300601,0.6716666666666666,0.3286981294519027,588.129,0,18,0,2,9,929,0,42
32,0.9747995991983968,0.6696666666666666,0.25819738839602985,591.37,0,12,0,1,9,948,0,30
33,0.9741132264529058,0.6643333333333332,0.2500178658915471,592.133,0,23,0,0,5,950,1,21
34,0.9773296593186372,0.6683333333333332,0.23230364379345073,593.115,0,16,0,1,4,954,0,25
35,0.9682665330661323,0.6593333333333332,0.19941785271607093,588.722,0,21,0,0,9,962,0,8
36,0.9800801603206413,0.669,0.19336533143126494,592.324,0,9,0,0,6,963,0,22
37,0.9834919839679359,0.6646666666666666,0.193052989373594,593.389,0,11,0,1,9,965,0,14
38,0.9760370741482965,0.6656666666666666,0.11463241743353839,590.273,0,6,0,0,5,981,0,8
39,0.9705861723446894,0.6623333333333332,0.17176048601693267,588.801,0,9,0,0,13,969,0,9
40,0.9389879759519038,0.6653333333333332,0.16630634316248105,583.622,0,11,0,0,6,970,0,13
41,0.9344188376753507,0.6483333333333332,0.35561485916114144,582.896,1,61,0,0,7,916,0,15
42,0.9534919839679359,0.6526666666666666,0.2648609083991108,587.013,0,42,0,1,7,943,0,7
43,0.963371743486974,0.6583333333333332,0.217978306529672,588.019,1,23,0,1,8,959,0,8
44,0.9728657314629259,0.6626666666666666,0.19929771516058686,591.94,0,18,0,1,6,963,0,12
45,0.9713877755511022,0.6613333333333332,0.2065694959483437,591.645,0,21,0,1,6,961,0,11
46,0.9772244488977956,0.6646666666666666,0.16556767861900495,592.526,0,13,0,0,5,970,0,12
47,0.9583867735470942,0.66,0.2278511520523791,585.79,0,19,0,0,13,956,0,12
48,0.9712975951903807,0.6626666666666666,0.20898681163256727,590.667,0,19,0,0,7,960,0,14
49,0.9754058116232465,0.666,0.18391937652883894,590.813,0,11,0,0,7,966,0,16
50,0.9499048096192385,0.6626666666666666,0.21096387969429034,581.973,1,13,0,0,11,961,0,14
51,0.9456563126252505,0.6553333333333332,0.24562606003252058,582.073,0,30,0,0,12,950,0,8
52,0.9450901803607215,0.657,0.32392214831296184,582.644,1,32,0,0,15,932,0,20
53,0.9692635270541082,0.669,0.3465925804882096,590.289,0,24,0,1,9,925,1,40
54,0.9669138276553106,0.6676666666666666,0.30447455604857765,588.754,0,17,0,2,10,939,2,30
55,0.9779659318637275,0.6643333333333332,0.22403568929791112,592.046,0,14,1,2,8,959,0,16
56,0.9815080160320642,0.668,0.21305065552426827,592.901,0,11,0,2,6,960,0,21
57,0.9747795591182364,0.6636666666666666,0.18001828041934465,591.554,0,14,0,0,7,967,0,12
58,0.9569438877755511,0.6593333333333332,0.18334815896018386,584.718,0,16,0,0,12,966,0,6
59,0.9603256513026052,0.6606666666666666,0.22449777378504793,587.419,0,19,0,2,10,958,0,11
60,0.9701853707414829,0.664,0.252333700018744,590.529,0,21,0,3,6,951,0,19
61,0.9797094188376754,0.666,0.23959010147085616,593.118,0,19,0,0,6,952,0,23
62,0.9678256513026052,0.6686666666666666,0.22316075816493,589.688,0,10,0,1,8,957,0,24
63,0.9702705410821644,0.6646666666666666,0.26954183007800614,590.754,0,25,0,0,6,944,0,25
64,0.967189378757515,0.6616666666666666,0.20587923581884807,588.935,1,12,0,0,12,963,1,11
65,0.9629308617234469,0.664,0.26033159670128725,586.625,0,16,0,0,13,949,1,21
66,0.9669088176352706,0.666,0.2564772915329271,589.121,0,16,0,0,9,950,2,23
67,0.9667384769539078,0.6613333333333332,0.19985051292247838,589.541,0,20,0,0,7,962,0,11
68,0.9545340681362725,0.658,0.2202605955766786,585.591,0,28,0,0,7,956,0,9
69,0.9637775551102205,0.6596666666666666,0.179215144245444,587.63,0,12,0,0,15,967,0,6
70,0.9707164328657315,0.663,0.1789165095028146,589.595,0,16,0,0,6,967,0,11
71,0.9695591182364729,0.6613333333333332,0.22031921040390595,588.692,0,15,0,0,14,958,0,13
72,0.974814629258517,0.6746666666666666,0.3285086244059858,591.249,1,11,0,1,10,929,1,47
73,0.9753356713426854,0.6793333333333332,0.3653784330462905,591.331,0,15,0,1,6,916,3,59
74,0.9746943887775551,0.6743333333333332,0.30310405170487487,590.481,0,9,0,0,13,933,0,45
75,0.9760971943887775,0.6723333333333332,0.2837803051643149,590.869,1,9,0,1,9,942,1,37
76,0.9736222444889779,0.6673333333333332,0.23365514848655694,590.251,0,11,0,0,11,954,0,24
77,0.9383667334669339,0.6686666666666666,0.22872969119770256,576.408,0,12,0,2,6,956,0,24
78,0.9063476953907815,0.6566666666666666,0.3679600871032355,564.939,1,13,0,0,40,920,1,25
79,0.9436072144288578,0.658,0.3003861447879145,579.264,1,19,0,0,23,939,0,18
80,0.9680561122244489,0.6626666666666666,0.2611271855038078,588.388,0,15,0,0,17,948,0,20
81,0.9775751503006012,0.666,0.20003932636561453,591.824,0,14,0,0,6,962,0,18
82,0.9731963927855711,0.6656666666666666,0.1712975139119063,590.084,0,8,0,0,9,969,0,14
83,0.9803256513026052,0.665,0.17753412066167584,592.421,1,10,0,0,6,969,1,13
84,0.9765380761523046,0.6653333333333332,0.14862691785269994,590.373,0,7,0,0,8,974,0,11
85,0.9884819639278557,0.6666666666666666,0.12855222730576482,594.869,0,6,0,0,5,978,0,11
86,0.9703356713426854,0.666,0.16643489477160464,590.187,0,9,0,0,7,970,0,14
87,0.9383416833667335,0.66,0.2695636031533427,582.469,0,30,0,1,7,945,0,17
88,0.926818637274549,0.6516666666666666,0.3238624755466145,579.185,0,49,0,0,10,927,0,14
89,0.9549198396793587,0.6533333333333332,0.28383003676929763,587.682,0,42,0,1,8,939,0,10
90,0.9608016032064128,0.659,0.29361834522184843,588.28,0,36,0,0,7,937,0,20
91,0.9775400801603207,0.665,0.20588491016067806,592.109,0,14,0,0,8,961,0,17
92,0.9719689378757514,0.6706666666666666,0.3128426095493521,591.089,0,18,0,1,9,933,0,39
93,0.9812925851703407,0.667,0.23299390036249076,594.298,0,18,0,1,4,954,0,23
94,0.9782214428857715,0.6633333333333332,0.18993358740865107,591.897,1,13,0,1,6,967,1,11
95,0.9632665330661323,0.662,0.19240843346950776,587.034,1,12,0,1,10,966,0,10
96,0.9735420841683367,0.662,0.17549931194841273,591.213,0,15,0,0,8,968,0,9
97,0.9687775551102205,0.6593333333333332,0.1807560077220103,588.528,2,12,0,0,12,968,0,6
98,0.9637775551102205,0.6596666666666666,0.1770961584454631,587.234,0,16,0,1,10,968,0,5
99,0.9608466933867735,0.659,0.2566341925100533,586.367,1,20,0,0,15,950,0,14
