generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.496655,0.493,2.0753451338642512,450.435,129,109,132,143,134,114,127,112
1,0.337135,0.379,1.944942078284241,376.839,214,92,150,60,232,100,113,39
2,0.266045,0.31766666666666665,1.7875645336483201,337.851,284,79,134,38,283,96,69,17
3,0.18766,0.2806666666666666,1.6111893389449445,294.088,336,73,92,17,341,94,27,20
4,0.160225,0.268,1.4930344053286468,276.797,377,63,45,13,351,118,16,17
5,0.17617,0.2663333333333333,1.4693475558291484,281.306,407,74,30,9,298,156,11,15
6,0.226495,0.29133333333333333,1.4565047598645793,300.383,406,74,22,4,241,225,5,23
7,0.28969,0.332,1.4708022740607942,325.266,358,96,10,6,209,291,3,27
8,0.362445,0.3856666666666666,1.5048602634189685,354.847,296,103,7,5,184,355,7,43
9,0.456395,0.439,1.4640601834153784,393.053,245,92,5,5,148,442,11,52
10,0.53477,0.483,1.4030130644073981,424.792,196,95,3,10,118,513,8,57
11,0.62631,0.5336666666666666,1.327145618925927,461.652,148,89,5,12,81,584,9,72
12,0.707865,0.5716666666666667,1.2166807774026254,495.221,108,82,4,15,57,649,11,74
13,0.76619,0.6053333333333333,1.0890688605405041,520.574,52,101,7,13,43,704,9,71
14,0.821695,0.6256666666666666,0.9503946553956208,540.313,30,77,12,8,40,759,8,66
15,0.87496,0.651,0.8384880495986401,559.284,13,60,7,10,32,792,8,78
16,0.905545,0.6593333333333332,0.7855040621141169,570.583,9,47,6,18,25,812,9,74
17,0.90603,0.6633333333333332,0.763743136467408,569.264,13,40,4,17,24,814,4,84
18,0.92008,0.6726666666666666,0.6812644841339369,574.692,7,39,2,9,16,832,6,89
19,0.933725,0.681,0.6521084054913192,579.205,4,35,2,9,15,831,1,103
20,0.94787,0.6933333333333332,0.6383353885982297,583.83,2,27,0,9,10,826,5,121
21,0.9594,0.7,0.6500529926863874,587.446,0,21,1,11,10,818,7,132
22,0.945215,0.701,0.6979800675744281,583.187,2,27,0,9,13,797,5,147
23,0.94142,0.7016666666666667,0.7052552324511674,581.18,1,14,0,8,24,797,11,145
24,0.93074,0.6973333333333332,0.7080980833054918,575.948,1,12,0,9,36,795,5,142
25,0.9482,0.706,0.7027413585966499,582.032,2,12,1,12,19,794,6,154
26,0.955115,0.7106666666666667,0.7127853766027384,586.017,1,13,2,11,15,786,8,164
27,0.938835,0.7006666666666667,0.8140463385526737,581.151,2,27,1,19,18,767,14,152
28,0.93197,0.704,0.8474029494688243,578.466,3,24,5,18,17,754,15,164
29,0.93549,0.7046666666666667,0.8211148272684756,580.434,2,23,3,14,16,762,20,160
30,0.934505,0.7046666666666667,0.8690512930511763,580.245,5,26,2,17,14,746,24,166
31,0.931755,0.706,0.9033392841392438,578.505,6,25,3,22,14,734,24,172
32,0.93416,0.708,0.900834392534765,580.28,2,21,6,19,23,731,20,178
33,0.907915,0.696,0.9460804853817044,570.261,3,28,7,17,35,726,20,164
34,0.91898,0.7043333333333333,0.9462812886776644,573.134,5,24,6,20,30,716,16,183
