generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.44755,0.44,2.0438384867246655,431.35,14,15,18,11,14,9,12,7
1,0.35965,0.34,1.758491447980438,379.17,22,4,31,4,22,9,5,3
2,0.30585,0.3133333333333333,1.6837678073710955,351.91,30,3,23,3,22,15,2,2
3,0.1745,0.2766666666666666,1.5637235859224343,283.66,37,5,10,4,28,15,1,0
4,0.19845,0.2766666666666666,1.4724482823320817,289.65,41,7,5,3,23,21,0,0
5,0.34565,0.36666666666666664,1.5422904451241766,355.97,30,7,5,0,20,34,2,2
6,0.40935,0.40333333333333327,1.4607391765537716,377.95,26,12,0,1,16,41,3,1
7,0.4572,0.44,1.352174792009734,393.84,23,11,1,1,12,50,0,2
8,0.60135,0.5166666666666666,1.0740849823851604,453.51,14,12,0,0,7,65,0,2
9,0.7188,0.58,0.8134958958007732,495.86,5,10,0,0,7,77,0,1
10,0.9262,0.65,0.2321658266933354,575.56,0,3,0,0,2,95,0,0
11,0.9556,0.6566666666666666,0.24602877030353432,587.28,0,3,0,0,1,95,0,1
12,0.96555,0.6633333333333333,0.2512612517411798,589.27,0,2,0,0,1,95,0,2
13,0.9875,0.68,0.25400119502958274,597.5,0,1,0,0,0,94,0,5
14,0.9606,0.67,0.3205379392955688,587.28,0,2,0,0,1,93,0,4
15,0.9806,0.6766666666666665,0.223535364519782,592.28,0,0,0,0,1,95,0,4
16,0.9806,0.6833333333333332,0.28234708919888,592.28,0,0,0,0,1,93,0,6
17,1.0,0.69,0.25363894691969135,600.0,0,0,0,0,0,93,0,7
18,0.94305,0.6866666666666665,0.5656997400068744,586.21,0,3,0,0,1,85,1,10
19,0.93085,0.69,0.7001887244538998,576.51,0,3,0,1,3,80,0,13
20,0.9382,0.69,0.6429082361734216,581.86,0,4,0,0,2,81,0,13
21,0.97225,0.7,0.5667406026374721,594.45,0,4,0,0,0,82,0,14
22,0.9458,0.71,0.6933517824642029,583.36,0,3,0,0,2,77,0,18
23,0.9314,0.7266666666666666,0.7991199282814598,579.76,0,1,0,0,3,72,2,22
24,0.9264,0.7233333333333333,0.8377639125289623,576.2,0,0,0,0,5,70,3,22
25,0.91135,0.73,0.9663615880715524,572.29,0,1,0,1,4,66,4,24
26,0.87115,0.7333333333333333,1.2249590354246853,561.47,0,1,1,3,7,54,5,29
