generation,node_id,strategy_int,strategy_bits,payoff
0,0,1,001,278.0
0,1,0,000,404.0
0,2,1,001,302.0
0,3,0,000,200.0
0,4,0,000,596.0
0,5,2,010,495.0
0,6,6,110,363.0
0,7,3,011,22.0
0,8,4,100,838.0
0,9,4,100,545.0
0,10,5,101,363.0
0,11,6,110,367.0
0,12,5,101,348.0
0,13,3,011,162.0
0,14,0,000,596.0
0,15,2,010,604.0
0,16,1,001,466.0
0,17,7,111,294.0
0,18,3,011,306.0
0,19,2,010,745.0
0,20,0,000,742.0
0,21,7,111,147.0
0,22,2,010,610.0
0,23,1,001,496.0
0,24,6,110,359.0
0,25,2,010,959.0
0,26,7,111,150.0
0,27,2,010,708.0
0,28,3,011,168.0
0,29,6,110,465.0
0,30,2,010,445.0
0,31,0,000,742.0
0,32,2,010,357.0
0,33,7,111,6.0
0,34,4,100,977.0
0,35,6,110,468.0
0,36,6,110,331.0
0,37,5,101,472.0
0,38,1,001,341.0
0,39,1,001,344.0
0,40,1,001,344.0
0,41,4,100,644.0
0,42,6,110,115.0
0,43,0,000,600.0
0,44,2,010,604.0
0,45,1,001,364.0
0,46,3,011,446.0
0,47,1,001,405.0
0,48,7,111,591.0
0,49,4,100,455.0
0,50,1,001,153.0
0,51,0,000,258.0
0,52,0,000,400.0
0,53,0,000,158.0
0,54,4,100,534.0
0,55,6,110,104.0
0,56,2,010,606.0
0,57,6,110,459.0
0,58,1,001,437.0
0,59,7,111,300.0
0,60,4,100,595.0
0,61,3,011,162.0
0,62,0,000,600.0
0,63,2,010,365.0
0,64,5,101,334.0
0,65,4,100,342.0
0,66,4,100,600.0
0,67,0,000,354.0
0,68,3,011,295.0
0,69,5,101,472.0
0,70,1,001,702.0
0,71,3,011,451.0
0,72,7,111,303.0
0,73,4,100,594.0
0,74,4,100,782.0
0,75,2,010,107.0
0,76,2,010,108.0
0,77,0,000,596.0
0,78,0,000,400.0
0,79,4,100,395.0
0,80,1,001,394.0
0,81,6,110,347.0
0,82,5,101,497.0
0,83,5,101,608.0
0,84,6,110,236.0
0,85,2,010,459.0
0,86,1,001,378.0
0,87,2,010,697.0
0,88,3,011,301.0
0,89,3,011,160.0
0,90,2,010,697.0
0,91,2,010,567.0
0,92,1,001,553.0
0,93,5,101,543.0
0,94,3,011,451.0
0,95,4,100,597.0
0,96,6,110,120.0
0,97,2,010,620.0
0,98,5,101,396.0
0,99,4,100,399.0
1,0,4,100,395.0
1,1,0,000,600.0
1,2,1,001,303.0
1,3,0,000,396.0
1,4,0,000,400.0
1,5,2,010,121.0
1,6,5,101,509.0
1,7,4,100,597.0
1,8,5,101,472.0
1,9,6,110,104.0
1,10,6,110,216.0
1,11,2,010,814.0
1,12,0,000,742.0
1,13,2,010,202.0
1,14,2,010,211.0
1,15,0,000,788.0
1,16,1,001,331.0
1,17,2,010,117.0
1,18,4,100,392.0
1,19,0,000,596.0
1,20,2,010,102.0
1,21,0,000,788.0
1,22,2,010,301.0
1,23,2,010,301.0
1,24,2,010,400.0
1,25,2,010,401.0
1,26,2,010,301.0
1,27,0,000,984.0
1,28,2,010,301.0
1,29,2,010,226.0
1,30,2,010,451.0
1,31,0,000,742.0
1,32,6,110,0.0
1,33,2,010,601.0
1,34,2,010,606.0
1,35,6,110,120.0
1,36,4,100,594.0
1,37,5,101,437.0
1,38,1,001,428.0
1,39,5,101,433.0
1,40,5,101,274.0
1,41,0,000,266.0
1,42,0,000,404.0
1,43,4,100,392.0
1,44,3,011,11.0
1,45,0,000,796.0
1,46,2,010,739.0
1,47,7,111,297.0
1,48,3,011,458.0
1,49,7,111,450.0
1,50,4,100,349.0
1,51,4,100,453.0
1,52,0,000,212.0
1,53,4,100,349.0
1,54,2,010,206.0
1,55,2,010,300.0
1,56,2,010,400.0
1,57,2,010,212.0
1,58,4,100,583.0
1,59,4,100,391.0
1,60,0,000,208.0
1,61,0,000,208.0
1,62,0,000,208.0
1,63,4,100,202.0
1,64,4,100,209.0
1,65,4,100,156.0
1,66,4,100,209.0
1,67,4,100,164.0
1,68,5,101,350.0
1,69,5,101,401.0
1,70,3,011,600.0
1,71,4,100,406.0
1,72,1,001,362.0
1,73,4,100,209.0
1,74,4,100,398.0
1,75,6,110,4.0
1,76,0,000,404.0
1,77,0,000,400.0
1,78,0,000,200.0
1,79,0,000,204.0
1,80,0,000,258.0
1,81,5,101,447.0
1,82,5,101,400.0
1,83,7,111,600.0
1,84,4,100,597.0
1,85,2,010,206.0
1,86,2,010,300.0
1,87,2,010,400.0
1,88,2,010,400.0
1,89,2,010,400.0
1,90,2,010,400.0
1,91,2,010,400.0
1,92,2,010,307.0
1,93,2,010,451.0
1,94,4,100,972.0
1,95,3,011,162.0
1,96,0,000,354.0
1,97,4,100,583.0
1,98,4,100,394.0
1,99,2,010,19.0
2,0,0,000,404.0
2,1,4,100,196.0
2,2,2,010,122.0
2,3,0,000,408.0
2,4,5,101,458.0
2,5,5,101,450.0
2,6,5,101,649.0
2,7,7,111,450.0
2,8,5,101,668.0
2,9,2,010,450.0
2,10,2,010,315.0
2,11,2,010,415.0
2,12,0,000,346.0
2,13,0,000,396.0
2,14,0,000,200.0
2,15,0,000,200.0
2,16,0,000,200.0
2,17,0,000,200.0
2,18,1,001,275.0
2,19,0,000,396.0
2,20,0,000,542.0
2,21,2,010,202.0
2,22,2,010,301.0
2,23,2,010,400.0
2,24,2,010,301.0
2,25,2,010,401.0
2,26,0,000,788.0
2,27,2,010,103.0
2,28,0,000,400.0
2,29,5,101,419.0
2,30,0,000,592.0
2,31,0,000,346.0
2,32,2,010,103.0
2,33,0,000,592.0
2,34,2,010,108.0
2,35,0,000,458.0
2,36,4,100,402.0
2,37,5,101,400.0
2,38,5,101,400.0
2,39,5,101,600.0
2,40,0,000,216.0
2,41,5,101,424.0
2,42,4,100,395.0
2,43,0,000,404.0
2,44,2,010,9.0
2,45,0,000,592.0
2,46,0,000,596.0
2,47,2,010,122.0
2,48,4,100,832.0
2,49,5,101,313.0
2,50,4,100,160.0
2,51,4,100,268.0
2,52,4,100,408.0
2,53,5,101,310.0
2,54,2,010,314.0
2,55,2,010,206.0
2,56,2,010,207.0
2,57,4,100,778.0
2,58,6,110,128.0
2,59,4,100,397.0
2,60,4,100,397.0
2,61,0,000,212.0
2,62,4,100,202.0
2,63,0,000,212.0
2,64,4,100,206.0
2,65,4,100,161.0
2,66,5,101,303.0
2,67,5,101,325.0
2,68,1,001,325.0
2,69,3,011,444.0
2,70,1,001,356.0
2,71,4,100,402.0
2,72,4,100,265.0
2,73,4,100,208.0
2,74,4,100,202.0
2,75,0,000,154.0
2,76,0,000,204.0
2,77,0,000,200.0
2,78,0,000,204.0
2,79,0,000,404.0
2,80,5,101,350.0
2,81,7,111,156.0
2,82,4,100,409.0
2,83,0,000,462.0
2,84,5,101,361.0
2,85,6,110,116.0
2,86,2,010,450.0
2,87,2,010,550.0
2,88,2,010,544.0
2,89,2,010,544.0
2,90,3,011,17.0
2,91,2,010,351.0
2,92,4,100,829.0
2,93,0,000,846.0
2,94,3,011,16.0
2,95,4,100,402.0
2,96,4,100,345.0
2,97,2,010,127.0
2,98,4,100,391.0
2,99,0,000,404.0
3,0,0,000,212.0
3,1,0,000,208.0
3,2,4,100,213.0
3,3,5,101,299.0
3,4,5,101,375.0
3,5,1,001,228.0
3,6,0,000,262.0
3,7,4,100,399.0
3,8,5,101,448.0
3,9,2,010,364.0
3,10,3,011,303.0
3,11,5,101,506.0
3,12,0,000,346.0
